run,seed,k_end,t_final,min_h,goal_dist,runtime_s
1,1,126,10.7725684375,22.0986509290518,0.417255064199767,264.669297
2,2,125,10.5306561328125,21.144867178457,0.455652034792844,258.5334267
3,3,124,10.7412559375,22.9023741865085,0.456724032366359,252.3039966
4,4,124,10.67202625,21.5484848723778,0.459938358057187,245.8693049
5,5,127,10.6344434375,22.6936005771599,0.357336363959578,245.1625428
6,6,127,10.8168049609375,21.5560142577638,0.349140843514598,253.8234041
7,7,125,10.6579526171875,21.4101020139961,0.391748758465467,246.6859741
8,8,125,10.503034453125,21.0588434600665,0.44455114036104,239.9552246
9,9,127,10.91125515625,21.1415516635987,0.370007886910137,255.3230756
10,10,123,10.5789049609375,20.081148470528,0.442061276395233,7641.4128956
11,11,126,10.8565698046875,21.1890521621167,0.320337379342898,244.5000958
12,12,123,10.7823436328125,23.2680968467509,0.429370737244776,234.220695
13,13,127,10.779025,21.623348536056,0.388353837918313,258.0089569
14,14,124,10.6520612109375,22.5020493401234,0.376297231559675,252.2841269
15,15,126,10.6773772265625,22.5073747219315,0.445530117319507,253.2118517
16,16,125,10.624669609375,21.5547988287581,0.469671482752903,259.8553203
17,17,128,10.904525,22.6741962762975,0.467626833995612,259.5188873
18,18,124,10.5880875,22.6469938834219,0.476085643602126,251.7309266
19,19,131,11.3083092578125,20.2510933642427,0.442258631059778,271.7452167
20,20,126,10.7456061328125,21.007796942476,0.482394482864407,264.3986303
21,21,126,10.7509401171875,24.0642750088518,0.387353025950501,248.0079591
22,22,121,10.4806760546875,22.9170746840938,0.295284559983617,240.031444
23,23,125,10.54832578125,21.615407570321,0.465147547933133,235.7492353
24,24,124,10.800818046875,21.89312155455,0.441369651137005,228.1547841
25,25,128,10.983026640625,20.4314932720288,0.369633419879464,239.1930658
26,26,126,10.76366171875,21.0449673375343,0.373846685708125,257.1964311
27,27,124,10.5865170703125,21.8469048897502,0.357366537935684,235.5580445
28,28,102,7.90292234375,20.5195590316975,0.353652261890459,199.3991609
29,29,129,10.87950359375,22.0665638286243,0.467406510054348,259.0183913
30,30,100,7.86174765625,20.5869475524526,0.499025105945686,196.1945478
31,31,124,10.482125859375,20.0533811861958,0.495683485059694,240.4605977
32,32,124,10.7108350390625,20.9930487667577,0.485971904174694,250.4969788
33,33,126,10.716703984375,22.6614334463349,0.430787348446322,234.1295899
34,34,124,10.5128405078125,20.8130066174923,0.440380696984858,248.7825633
35,35,125,10.731850859375,23.1701593087372,0.452897353189836,235.0717674
36,36,123,10.565882890625,20.9010480383329,0.488802227351367,244.67677
37,37,128,10.86361484375,21.5463461364797,0.409452900430385,238.0721702
38,38,128,10.6824541796875,21.0036077986894,0.311346972469414,259.538152
39,39,126,10.70784734375,21.4034917582285,0.456483128788208,255.4361086
40,40,124,10.719290625,22.89610253416,0.447219930087029,253.5657055
41,41,125,10.6696928515625,22.7808510483873,0.352601831801036,241.8896233
42,42,124,10.55530234375,22.0889683950594,0.467141894140971,248.6271855
43,43,125,10.911914140625,21.4933998264773,0.395555527108853,256.7414009
44,44,126,10.794247734375,21.0323121034159,0.407358269617923,257.6424125
45,45,125,10.717319609375,22.4617759242305,0.406763244745234,254.0740283
46,46,124,10.5510182421875,21.4347728199461,0.4270635864221,250.7294985
47,47,125,10.816245,21.8988447870195,0.365616211561524,244.7696123
48,48,126,10.7420256640625,20.2103404567033,0.407886482619619,259.5210351
49,49,126,10.62286875,20.6897548180075,0.361174664151764,257.6287989
50,50,126,10.799263359375,21.1110301664723,0.46354213143345,249.1763981
51,51,124,10.65986875,21.7317078187131,0.435980236132921,251.097231
52,52,126,10.7189748828125,22.1392111915361,0.473215347811881,259.029991
53,53,124,10.53204375,21.5149422920497,0.422628703336637,240.5890963
54,54,122,10.5613119921875,21.6990038045873,0.498733032852871,245.1002461
55,55,99,7.8598846484375,22.2195323033099,0.314921786866636,198.4937153
56,56,125,10.7961951953125,21.8400760138991,0.445512466244847,245.6610342
57,57,126,10.735684375,22.1837050247641,0.441557744150365,242.4976289
58,58,130,11.2955170703125,21.638654490451,0.43921833776944,264.767062
59,59,125,10.772230546875,21.8131754936881,0.49705279398645,248.7681278
60,60,124,10.7250569140625,22.2585244948356,0.364493873352487,252.9757143
61,61,125,10.6116557421875,21.8171430253753,0.354744970273431,252.7132612
62,62,126,10.9994698859375,22.6012825168152,0.401561461214295,1460.055078
63,63,126,10.6259859375,20.50332491278,0.498861220446442,250.1469924
64,64,100,7.793300078125,21.285476285201,0.254566209508664,199.8720252
65,65,131,11.47063828125,21.2212749996544,0.459580465982941,266.9230968
66,66,125,10.646582109375,22.0184712917538,0.456836909331463,249.4901838
67,67,128,10.9891309375,21.4551359660726,0.392161992482911,249.6393271
68,68,126,10.840013359375,21.8284513319177,0.415181073025005,252.6523548
69,69,124,10.703908671875,22.1934552292445,0.386358881343453,235.028366
70,70,124,10.6768809375,22.3585143323118,0.463981656789304,232.608993
71,71,124,10.66571953125,22.2566909093145,0.444701814604755,249.3812188
72,72,126,10.7498744921875,21.6895814248744,0.37303378272309,253.4090233
73,73,122,10.6344621875,22.5705181340531,0.42236390253896,247.45362
74,74,127,10.8779076953125,22.4424360171986,0.355879795857388,266.4288824
75,75,127,10.80574890625,22.5811738490284,0.478495980066025,263.3437488
76,76,127,10.677107890625,20.6355682582379,0.3333892957585,264.2203204
77,77,126,10.73907578125,22.2072519010895,0.473969746208229,269.9160804
78,78,126,10.812479375,21.5233459934479,0.47016234887587,252.8200089
79,79,126,10.90095078125,19.7066688452341,0.340008807385312,263.9196754
80,80,125,10.6666576953125,23.2526501654697,0.454987360609842,240.8557742
81,81,127,10.81302890625,22.0065422644543,0.292766763951103,253.4544312
82,82,127,10.90843328125,22.9315966478686,0.44611225507418,253.7144715
83,83,101,7.892090625,22.2214140871317,0.427211350947267,208.1258145
84,84,127,10.877922734375,21.7032215041968,0.426611667500919,265.0369569
85,85,127,10.94160984375,20.7898091206734,0.408943127005125,251.6206624
86,86,123,10.4913296875,20.9355893794334,0.423212082184377,236.4272831
87,87,125,10.4942514453125,20.5913870000486,0.467953700635705,244.785536
88,88,125,10.69721375,21.9618956771684,0.397949808164726,250.0953364
89,89,125,10.77570828125,20.3565121529284,0.407361485518612,244.7620819
90,90,100,7.91709265625,22.2483562486225,0.478977758690856,196.2115223
91,91,126,10.740529765625,20.6645889013709,0.487954969736287,247.5951871
92,92,125,10.7306815234375,22.5609358339978,0.45241370485685,251.325744
93,93,103,7.9259390625,21.1353928673709,0.46017310522227,201.2679726
94,94,124,10.6392104296875,21.9921084202918,0.451307138219628,242.7532419
95,95,124,10.69831375,22.7976519404732,0.444432989081948,246.548139
96,96,126,10.7877590625,22.0273786676346,0.434698242649478,248.9921998
97,97,101,7.7992541796875,22.1291376251706,0.280231523648525,197.2448238
98,98,128,10.747328984375,21.079524074129,0.476169311992144,256.2538816
99,99,127,10.75070390625,21.9367023812118,0.413250137037299,243.3986316
100,100,126,10.892909453125,23.538686064208,0.328177847791222,252.886783
